Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A02002_001,SE_A02002_002,SE_A02002_003,SE_A02002_004,SE_A02002_005,SE_A02002_006,SE_A02002_007,SE_A02002_008,SE_A02002_009,SE_A02002_010,SE_A02002_011,SE_A02002_012,SE_A02002_013,SE_A02002_014,SE_A02002_015,SE_A02002_016,SE_A02002_017,SE_A02002_018,SE_A02002_019,SE_A02002_020,SE_A02002_021,SE_A02002_022,SE_A02002_023,SE_A02002_024,SE_A02002_025,SE_A02002_026,SE_A02002_027
"0449740","32000US0449740","Yuma","Yuma, AZ Metro Area; Arizona","az","320","00","ACSSF","0007804",,,,,"04",,,,,,,,,,,,,,"49740",,,,,,,,,,,,,,,,,,,,,,,,,,,,209468,107841,7676,7489,7600,4339,13846,16136,11896,10504,9929,8989,7666,1771,101627,7395,7204,7159,4366,9878,12962,10762,11111,10516,10450,7684,2140
"0511660","32000US0511660","Arkadelphia","Arkadelphia, AR Micro Area; Arkansas","ar","320","00","ACSSF","0007413",,,,,"05",,,,,,,,,,,,,,"11660",,,,,,,,,,,,,,,,,,,,,,,,,,,,22386,10506,590,555,585,321,2341,1131,1016,1160,1230,913,490,174,11880,611,539,651,403,2619,1071,1244,1332,1353,1063,628,366
"0512900","32000US0512900","Batesville","Batesville, AR Micro Area; Arkansas","ar","320","00","ACSSF","0007414",,,,,"05",,,,,,,,,,,,,,"12900",,,,,,,,,,,,,,,,,,,,,,,,,,,,54566,26747,1676,1591,1951,1181,2340,2949,3063,3449,3652,2941,1463,491,27819,1668,1815,1698,1034,2084,3010,3140,3493,3884,3255,1883,855
"0514180","32000US0514180","Blytheville","Blytheville, AR Micro Area; Arkansas","ar","320","00","ACSSF","0007415",,,,,"05",,,,,,,,,,,,,,"14180",,,,,,,,,,,,,,,,,,,,,,,,,,,,42126,20436,1566,1503,1539,999,1891,2813,2397,2439,2628,1695,699,267,21690,1471,1385,1676,955,1890,2728,2661,2676,2821,1898,1153,376
"0515780","32000US0515780","Camden","Camden, AR Micro Area; Arkansas","ar","320","00","ACSSF","0007416",,,,,"05",,,,,,,,,,,,,,"15780",,,,,,,,,,,,,,,,,,,,,,,,,,,,29022,13980,892,881,940,657,1326,1498,1340,1845,2095,1503,746,257,15042,813,666,1136,414,1200,1635,1661,1871,2375,1743,1093,435
"0520980","32000US0520980","El Dorado","El Dorado, AR Micro Area; Arkansas","ar","320","00","ACSSF","0007417",,,,,"05",,,,,,,,,,,,,,"20980",,,,,,,,,,,,,,,,,,,,,,,,,,,,39449,19101,1248,1488,1270,794,1616,2313,2233,2349,2784,1846,944,216,20348,1383,1195,1391,758,1543,2375,2384,2638,2883,2065,1252,481
"0522220","32000US0522220","Fayetteville-Springdale-Rogers","Fayetteville-Springdale-Rogers, AR Metro Area; Arkansas","ar","320","00","ACSSF","0007418",,,,,"05",,,,,,,,,,,,,,"22220",,,,,,,,,,,,,,,,,,,,,,,,,,,,514259,255949,18367,18610,19159,10900,28952,38777,35518,30770,25996,17752,8620,2528,258310,17464,18267,17950,10603,27901,37299,34720,30424,27789,20562,10584,4747
"0522620","32000US0522620","Forrest City","Forrest City, AR Micro Area; Arkansas","ar","320","00","ACSSF","0007419",,,,,"05",,,,,,,,,,,,,,"22620",,,,,,,,,,,,,,,,,,,,,,,,,,,,25900,14094,809,637,1110,517,1093,2221,2386,1745,1676,1208,617,75,11806,857,832,644,558,929,1338,1310,1436,1629,1285,737,251
"0522900","32000US0522900","Fort Smith","Fort Smith, AR-OK Metro Area (part); Arkansas","ar","320","00","ACSSF","0007420",,,,,"05",,,,,,,,,,,,,,"22900",,,,,,,,,,,,,,,,,,,,,,,,,,,,208068,101981,6788,6753,7578,4424,9266,13330,12647,13220,13176,9224,4366,1209,106087,6695,6761,7123,4384,9017,13310,12657,13621,13751,10417,5938,2413
"0525460","32000US0525460","Harrison","Harrison, AR Micro Area; Arkansas","ar","320","00","ACSSF","0007421",,,,,"05",,,,,,,,,,,,,,"25460",,,,,,,,,,,,,,,,,,,,,,,,,,,,45143,22308,1367,1589,1383,910,1749,2566,2477,2775,3091,2645,1309,447,22835,1319,1329,1433,822,1533,2616,2589,2874,3139,2864,1544,773
